wordnet,wikipedia,source
arch.n.03,archway_(solitaire),BABELNET
archbishop.n.01,archbishop,BABELNET
archeologist.n.01,Archaeology,BING
archeology.n.01,archaeology,BABELNET
archer.n.01,Ranger_(character_class),BING
archery.n.01,archery,BABELNET
archipelago.n.01,archipelago,BABELNET
architect.n.01,designer,BABELNET
architeuthis.n.01,giant_squid,BABELNET
architrave.n.01,Architrave,FERNANDO
archive.n.01,archive,BABELNET
archpriest.n.01,primate_(bishop),BABELNET
arctic.n.02,galoshes,BABELNET
arctic_fox.n.01,Arctic_fox,BABELNET
ardor.n.03,The_Ardor,BING
are.n.01,ar_(city),BABELNET
areola.n.02,areola,BABELNET
argali.n.01,argali,BABELNET
argentine.n.01,Herring_smelt,BABELNET
arginine.n.01,arginine,BABELNET
argon.n.01,argon,BABELNET
argument.n.03,debate,BABELNET
argus.n.02,argus_(bird),BABELNET
argyll.n.01,Argyll,FERNANDO
aria.n.01,aria,BABELNET
aril.n.01,aril,BABELNET
arithmetic.n.01,arithmetic,BABELNET
arithmetic_mean.n.01,expected_value,BABELNET
ark.n.02,ark_(river_boat),BABELNET
arm.n.02,Arm,FERNANDO
arm_bone.n.01,Arm_bone,FERNANDO
armadillo.n.01,armadillo,BABELNET
armature.n.01,armature_(electrical_engineering),BABELNET
armchair.n.01,Armchair_(furniture),BING
armoire.n.01,Armoire,BING
armor.n.01,Armour,FERNANDO
armored_car.n.01,Armored_car_(military),BING
armored_personnel_carrier.n.01,armoured_personnel_carrier,BABELNET
armory.n.01,Armory,BING
armpit.n.01,axilla,BABELNET
armrest.n.01,Armrest,FERNANDO
army.n.01,regular_army,BABELNET
army_base.n.01,military_base,BABELNET
army_for_the_liberation_of_rwanda.n.01,Interahamwe,BABELNET
army_officer.n.01,Duty_Officer,BING
armyworm.n.01,Mythimna_unipuncta,BABELNET
arnica.n.01,Arnica,FERNANDO
aroma.n.02,Aroma_compound,BABELNET
arrangement.n.03,Organization,FERNANDO
array.n.03,Arras,BING
arrest.n.02,Resisting_arrest,BING
